domain,miner_ip
bbc01.bbcpool.io,54.241.203.241
bbr.luckypool.io,51.91.29.107
bbscoin.my-mining-pool.de,144.76.26.181
bcd.eu.mine.zpool.ca,188.165.24.209
bcd.jp.mine.zpool.ca,198.50.168.213
bcd.mine.blazepool.com,3.64.163.50
bcd.na.mine.zpool.ca,198.50.168.213
bcd.sea.mine.zpool.ca,198.50.168.213
bch.ukrpool.com,18.193.26.129
bch.viabtc.com,172.65.249.47
bch.viabtc.top,172.65.251.107
bci.suprnova.cc,54.37.81.148
bcn.pool.minergate.com,88.99.142.163
bcx.vvpool.com,203.107.32.162
beam-asia.leafpool.com,206.189.151.227
beam-eu.leafpool.com,142.93.134.95
beam-us.leafpool.com,104.217.251.70
beam.2miners.com,162.19.139.120
beam.acepool.top,51.79.70.231
beam.antpool.com,47.107.12.109
beam.leafpool.com,172.67.212.42
beam.sparkpool.com,203.107.33.230
beam.sunpool.top,195.201.121.246
beam.suprnova.cc,45.55.72.65
beamv3.br.nicehash.com,34.111.56.74
beamv3.eu.nicehash.com,34.111.56.74
beamv3.hk.nicehash.com,34.111.56.74
beamv3.in.nicehash.com,34.111.56.74
beamv3.jp.nicehash.com,34.111.56.74
beamv3.usa.nicehash.com,34.111.56.74
bestminer.eu,199.59.243.223
bibop.net,104.21.67.193
binarium-v1.eu.mine.zpool.ca,188.165.24.209
binarium-v1.jp.mine.zpool.ca,198.50.168.213
binarium-v1.na.mine.zpool.ca,198.50.168.213
bitcoin.viabtc.com,172.65.205.242
bitcoin.viabtc.top,172.65.223.122
bitcore.asia.mine.zergpool.com,103.249.70.7
bitcore.eu.mine.zpool.ca,188.165.24.209
bitcore.jp.mine.zpool.ca,198.50.168.213
bitcore.mine.zergpool.com,103.249.70.7
bitcore.na.mine.zpool.ca,198.50.168.213
bittubecash.miner.rocks,188.165.198.144
blake2b.asia.mine.zergpool.com,51.79.251.11
blake2b.eu.mine.zpool.ca,188.165.24.209
blake2b.mine.zergpool.com,103.249.70.7
blake2b.na.mine.zpool.ca,198.50.168.213
blake2s.asia.mine.zergpool.com,51.79.251.11
blake2s.br.nicehash.com,34.111.253.192
blake2s.eu.mine.zpool.ca,188.165.24.209
blake2s.eu.nicehash.com,34.111.253.192
blake2s.hk.nicehash.com,34.111.253.192
blake2s.in.nicehash.com,34.111.253.192
blake2s.jp.mine.zpool.ca,198.50.168.213
blake2s.jp.nicehash.com,34.111.253.192
blake2s.mine.blazepool.com,3.64.163.50
blake2s.mine.zergpool.com,103.249.70.7
blake2s.mining-dutch.nl,51.178.75.42
blake2s.na.mine.zpool.ca,198.50.168.213
blake2s.pool.atomminer.com,173.82.173.62
blake2s.sea.mine.zpool.ca,198.50.168.213
blake2s.usa.nicehash.com,34.111.253.192
blakecoin.eu.mine.zpool.ca,188.165.24.209
blockmasters.co,149.56.23.23
bmw512.asia.mine.zergpool.com,51.79.251.11
bmw512.eu.mine.zergpool.com,141.95.55.97
bmw512.eu.mine.zpool.ca,188.165.24.209
bmw512.mine.zergpool.com,103.249.70.7
bmw512.na.mine.zpool.ca,198.50.168.213
bs.poolbinance.com,99.83.184.202
bsod.pw,172.67.197.194
bsv.ukrpool.com,8.209.81.41
btc-eu.f2pool.com,172.65.217.174
btc-eu.luxor.tech,35.202.11.182
btc-mow.f2pool.com,172.65.199.69
btc-us.f2pool.com,172.65.202.250
btc-us.luxor.tech,35.202.11.182
btc.blockwarepool.com,104.21.73.242
btc.f2pool.com,172.65.217.174
btc.luxor.tech,35.244.212.109
btc.ss.poolin.com,172.65.253.87
btc.trustpool.ru,162.62.3.29
btc.ukrpool.com,3.65.178.51
btc.viabtc.com,172.65.233.152
btc.viabtc.top,172.65.253.106
btcp.2miners.com,162.19.139.120
btcp.suprnova.cc,54.37.81.148
btcv.gomine.pro,103.224.212.221
btcz.2miners.com,162.19.139.120
btcz.altpool.pro,37.187.226.146
btcz.suprnova.cc,147.135.220.159
btg.2miners.com,162.19.139.181
btg.hashcity.org,138.201.198.155
btg.pool.gold,99.83.153.108
btg.suprnova.cc,145.239.0.50
bth.altpool.pro,37.187.226.146
bze.pcmining.xyz,18.185.240.102
c11.asia.mine.zergpool.com,51.79.251.11
c11.eu.mine.zpool.ca,188.165.24.209
c11.jp.mine.zpool.ca,198.50.168.213
c11.mine.zergpool.com,103.249.70.7
c11.na.mine.zpool.ca,198.50.168.213
ca-qrl.miningocean.org,51.222.12.70
ca-tor01.miningrigrentals.com,155.138.134.202
ca-upx.miningocean.org,51.222.12.70
ca.conceal.herominers.com,141.95.126.31
ca.haven.herominers.com,141.95.126.31
ca.haven.miner.rocks,167.114.208.25
ca.monero.herominers.com,141.95.126.31
ca.rvn.minermore.com,155.138.150.133
ca.scala.herominers.com,141.95.126.31
ca.stratu.ms,68.183.195.129
ca.stratum.slushpool.com,167.99.184.249
cash-eu.coinmine.pl,217.182.138.7
cash.coinmine.pl,217.182.138.7
cfx-eu.ss.poolflare.net,168.119.79.208
cfx-us.ss.poolflare.net,192.99.233.13
cfx.ss.poolflare.net,13.215.188.210
champmine.de,185.53.177.53
chi.f2pool.com,47.109.19.205
chicago01.hashvault.pro,142.202.242.45
ckb.2miners.com,162.19.139.119
ckb.antpool.com,47.242.196.19
ckb.f2pool.com,172.65.199.69
ckb.sparkpool.com,203.107.33.230
ckb.stratum.hashpool.com,39.107.217.77
clo.2miners.com,162.19.139.120
clopool.pro,150.95.255.38
cluster.aionpool.tech,168.119.146.54
cmm-eu.coinblockers.com,103.214.5.103
cmra.miningpool.fun,3.143.54.106
coinotron.com,51.210.32.161
coins4u.cc,184.190.233.217
comining.io,104.21.95.136
conceal.herominers.com,141.95.126.31
conceal.miner.rocks,188.165.198.144
connect.pool.bitcoin.com,47.88.91.129
coolpool.top,89.232.109.242
cpacoin.my-mining-pool.de,144.76.26.181
cpu-pool.com,185.185.70.244
cpupower.asia.mine.zergpool.com,51.79.251.11
cpupower.eu.mine.zergpool.com,141.95.55.97
cpupower.eu.mine.zpool.ca,188.165.24.209
cpupower.mine.zergpool.com,103.249.70.7
crypit.net,67.227.226.240
cryptonightr.br.nicehash.com,34.111.86.137
cryptonightr.eu.nicehash.com,34.111.86.137
cryptonightr.hk.nicehash.com,34.111.86.137
cryptonightr.in.nicehash.com,34.111.86.137
cryptonightr.jp.nicehash.com,34.111.86.137
cryptonightr.usa.nicehash.com,34.111.86.137
cryptonote.club,31.131.20.36
cryptonote.social,75.144.254.101
ctxc.2miners.com,162.19.139.181
cuckoo.cortexmint.com,39.107.213.229
cuckoocycle.br.nicehash.com,35.244.231.52
cuckoocycle.eu.nicehash.com,35.244.231.52
cuckoocycle.hk.nicehash.com,35.244.231.52
cuckoocycle.in.nicehash.com,35.244.231.52
cuckoocycle.jp.nicehash.com,35.244.231.52
cuckoocycle.usa.nicehash.com,35.244.231.52
daggerhashimoto.br.nicehash.com,34.149.10.66
daggerhashimoto.eu.nicehash.com,34.149.10.66
daggerhashimoto.hk.nicehash.com,34.149.10.66
daggerhashimoto.in.nicehash.com,34.149.10.66
daggerhashimoto.jp.nicehash.com,34.149.10.66
daggerhashimoto.usa.nicehash.com,34.149.10.66
dash-asia.luxor.tech,35.202.11.182
dash-eu.luxor.tech,35.202.11.182
dash.coinmine.pl,217.182.138.7
dash.f2pool.com,8.217.23.131
dash.ss.poolin.com,172.65.235.96
dash.suprnova.cc,217.182.199.85
dbix.hashcity.org,138.201.198.155
dbix.pool.sexy,159.69.56.113
dcr-eu.coinmine.pl,217.182.138.7
dcr-eu.luxor.tech,35.202.11.182
dcr-us.coinmine.pl,217.182.138.7
dcr-us.luxor.tech,35.202.11.182
dcr.antpool.com,8.210.145.80
dcr.coinmine.pl,217.182.138.7
dcr.f2pool.com,47.243.129.95
dcr.ss.poolin.com,16.162.128.244
de.ckpool.org,51.81.56.15
de.equihash.pro,23.91.82.154
de.stratu.ms,134.122.86.59
de01.supportxmr.com,141.95.72.61
de02.supportxmr.com,141.95.72.60
decred.br.nicehash.com,34.111.72.227
decred.eu.mine.zpool.ca,188.165.24.209
decred.eu.nicehash.com,34.111.72.227
decred.hk.nicehash.com,34.111.72.227
decred.in.nicehash.com,34.111.72.227
decred.jp.mine.zpool.ca,198.50.168.213
decred.jp.nicehash.com,34.111.72.227
decred.na.mine.zpool.ca,198.50.168.213
decred.usa.nicehash.com,34.111.72.227
dedal.eu.mine.zpool.ca,188.165.24.209
defis-us.ravepool.com,138.197.221.255
dero.antpool.com,47.107.15.105
dero.miner.rocks,188.165.198.144
dero.ss.dxpool.com,35.76.39.213
dgb-odocrypt.f2pool.com,47.243.167.207
dgb-scrypt.f2pool.com,47.243.167.207
dgb-sha256d.f2pool.com,47.243.167.207
dgbo.suprnova.cc,5.9.193.22
dgbq.suprnova.cc,5.9.193.22
dgbs.suprnova.cc,54.37.81.148
dig.wazn.io,157.90.229.215
digihash.co,52.10.44.115
dlinodes.com,108.161.219.201
donate.v2.xmrig.com,199.247.27.41
duckiepool.com,20.193.89.74
dvt.gomine.pro,103.224.212.221
dxpool.com,3.115.202.189
dyn.suprnova.cc,145.239.0.126
eaglesong.eu.nicehash.com,34.111.115.126
eaglesong.hk.nicehash.com,34.111.115.126
eaglesong.usa.nicehash.com,34.111.115.126
east.us.rvn.minermore.com,104.156.227.248
eccak.na.mine.zpool.ca,198.50.168.213
egem-esoteria.icanmining.ru,185.178.208.137
egem-eu.upool.in,199.59.243.223
egem-us.upool.in,199.59.243.223
egem.digipools.org,45.43.30.3
egem.protonmine.com,204.11.56.48
ella.2miners.com,162.19.139.182
ella.digipools.org,45.43.30.4
ella.pool.sexy,159.69.56.113
em.huobipool.com,47.89.180.253
emc2.suprnova.cc,145.239.0.106
equihash.asia.mine.zergpool.com,51.79.251.11
equihash.br.nicehash.com,35.244.175.27
equihash.eu.mine.zergpool.com,141.95.55.97
equihash.eu.mine.zpool.ca,188.165.24.209
equihash.eu.nicehash.com,35.244.175.27
equihash.f2pool.com,18.139.133.227
equihash.hk.nicehash.com,35.244.175.27
equihash.in.nicehash.com,35.244.175.27
equihash.jp.mine.zpool.ca,198.50.168.213
equihash.jp.nicehash.com,35.244.175.27
equihash.luxor.tech,34.98.72.143
equihash.mine.zergpool.com,103.249.70.7
equihash.mining-dutch.nl,51.178.179.75
equihash.na.mine.zergpool.com,149.56.111.148
equihash.na.mine.zpool.ca,198.50.168.213
equihash.sea.mine.zpool.ca,198.50.168.213
equihash.usa.nicehash.com,35.244.175.27
equihash125.asia.mine.zergpool.com,51.79.251.11
equihash125.eu.mine.zergpool.com,141.95.55.97
equihash125.mine.zergpool.com,103.249.70.7
equihash125.na.mine.zergpool.com,149.56.111.148
equihash125.na.mine.zpool.ca,198.50.168.213
equihash144.asia.mine.zergpool.com,51.79.251.11
equihash144.eu.mine.zergpool.com,141.95.55.97
equihash144.eu.mine.zpool.ca,188.165.24.209
equihash144.jp.mine.zpool.ca,198.50.168.213
equihash144.mine.zergpool.com,103.249.70.7
equihash144.na.mine.zergpool.com,149.56.111.148
