domain,miner_ip
kda-asia.ss.poolflare.net,139.99.125.226
kda-asia.ss.poolflare.net,45.76.180.119
kda-eu.ss.poolflare.com,217.182.199.123
kda-eu.ss.poolflare.net,51.195.60.157
kda-eu2.ss.poolflare.net,168.119.79.208
kda-us.ss.poolflare.com,192.99.233.13
kda-us.ss.poolflare.net,192.99.233.13
kda.f2pool.com,35.158.35.5
kda.ss.poolflare.com,168.119.79.208
kda.ss.poolflare.net,13.215.188.210
kda.ss.poolflare.net,3.0.35.77
kda.stratum.hashpool.com,47.95.128.206
keccak.asia.mine.zergpool.com,51.79.251.11
keccak.eu.mine.zpool.ca,188.165.24.209
keccak.eu.nicehash.com,34.111.174.176
keccak.hk.nicehash.com,34.111.174.176
keccak.jp.mine.zpool.ca,198.50.168.213
keccak.mine.zergpool.com,103.249.70.7
keccak.mining-dutch.nl,51.178.75.42
keccak.na.mine.zergpool.com,149.56.111.148
keccak.na.mine.zpool.ca,198.50.168.213
keccak.usa.nicehash.com,34.111.174.176
keccakc.asia.mine.zergpool.com,103.249.70.7
keccakc.eu.mine.zpool.ca,188.165.24.209
keccakc.jp.mine.zpool.ca,198.50.168.213
keccakc.mine.zergpool.com,103.249.70.7
keccakc.na.mine.zpool.ca,198.50.168.213
kingsminer.ddnsking.com,174.89.105.161
kp.unmineable.com,178.62.28.102
kreds.suprnova.cc,217.182.138.181
kva.ss.dxpool.com,35.76.39.213
kz.emcd.io,95.143.184.198
lb.geo.egempool.eu,185.198.70.250
lb.geo.pirlpool.eu,185.198.70.250
lb.geo.ubiqpool.org,213.32.53.180
lbc.luxor.tech,34.107.203.102
lbk3.eu.mine.zpool.ca,188.165.24.209
lbk3.jp.mine.zpool.ca,198.50.168.213
lbk3.na.mine.zpool.ca,198.50.168.213
lbry.asia.mine.zergpool.com,51.79.251.11
lbry.eu.mine.zpool.ca,188.165.24.209
lbry.eu.nicehash.com,34.111.210.68
lbry.hk.nicehash.com,34.111.210.68
lbry.jp.mine.zpool.ca,198.50.168.213
lbry.mine.zergpool.com,103.249.70.7
lbry.na.mine.zpool.ca,198.50.168.213
lbry.suprnova.cc,104.248.240.136
lbry.usa.nicehash.com,34.111.210.68
lidonia.com,108.91.11.33
litecoinpool.org,149.210.234.234
ls.huobipool.com,47.91.170.62
ltc-eu.f2pool.com,172.65.249.114
ltc-us.f2pool.com,172.65.202.250
ltc.f2pool.com,172.65.249.114
ltc.pool.minergate.com,94.130.143.162
ltc.ss.poolin.com,172.65.180.210
ltc.viabtc.com,172.65.199.137
ltc.viabtc.top,172.65.204.210
ltz.pcmining.xyz,18.185.29.169
lyra2rev2.eu.nicehash.com,34.111.239.50
lyra2rev2.hk.nicehash.com,34.111.239.50
lyra2rev2.mining-dutch.nl,51.178.75.42
lyra2rev2.usa.nicehash.com,34.111.239.50
lyra2v2.asia.mine.zergpool.com,51.79.251.11
lyra2v2.eu.mine.zpool.ca,188.165.24.209
lyra2v2.jp.mine.zpool.ca,198.50.168.213
lyra2v2.mine.ahashpool.com,3.64.163.50
lyra2v2.mine.blazepool.com,3.64.163.50
lyra2v2.mine.zergpool.com,103.249.70.7
lyra2v2.na.mine.zergpool.com,149.56.111.148
lyra2v2.na.mine.zpool.ca,198.50.168.213
lyra2v3.eu.mine.zpool.ca,188.165.24.209
lyra2v3.jp.mine.zpool.ca,198.50.168.213
lyra2v3.mine.blazepool.com,3.64.163.50
lyra2v3.na.mine.zpool.ca,198.50.168.213
lyra2z.asia.mine.zergpool.com,51.79.251.11
lyra2z.eu.mine.zpool.ca,188.165.24.209
lyra2z.eu.nicehash.com,34.111.48.55
lyra2z.hk.nicehash.com,34.111.48.55
lyra2z.jp.mine.zpool.ca,198.50.168.213
lyra2z.mine.ahashpool.com,3.64.163.50
lyra2z.mine.zergpool.com,103.249.70.7
lyra2z.na.mine.zergpool.com,149.56.111.148
lyra2z.na.mine.zpool.ca,198.50.168.213
lyra2z.usa.nicehash.com,34.111.48.55
lyra2z330.asia.mine.zergpool.com,51.79.251.11
lyra2z330.mine.zergpool.com,103.249.70.7
lyra2z330.na.mine.zergpool.com,149.56.111.148
m7m.asia.mine.zergpool.com,51.79.251.11
m7m.eu.mine.zergpool.com,141.95.55.97
m7m.eu.mine.zpool.ca,188.165.24.209
m7m.jp.mine.zpool.ca,198.50.168.213
m7m.mine.zergpool.com,103.249.70.7
m7m.na.mine.zpool.ca,198.50.168.213
m7m.sea.mine.zpool.ca,198.50.168.213
masari.miner.rocks,188.165.198.144
mastermine.eu,91.195.241.232
mcmpool.eu,176.57.189.38
megabtx.asia.mine.zergpool.com,51.79.251.11
megabtx.eu.mine.zpool.ca,188.165.24.209
megabtx.mine.zergpool.com,103.249.70.7
megamec.asia.mine.zergpool.com,51.79.251.11
megamec.mine.zergpool.com,103.249.70.7
mine-beam-testnet.leafpool.com,5.2.65.14
mine.ahashpool.com,3.64.163.50
mine.arqma.com,54.37.204.95
mine.bittubecash.fairpool.xyz,23.82.12.34
mine.c3pool.com,5.161.50.27
mine.etc.fairpool.xyz,69.162.95.4
mine.loki.fairpool.xyz,37.48.65.136
mine.msr.fairpool.xyz,74.63.241.29
mine.nlpool.nl,136.144.191.173
mine.nuko.fairpool.xyz,82.192.82.225
mine.ryo.fairpool.xyz,69.162.95.4
mine.swap.fairpool.xyz,37.48.65.136
mine.thegrinpool.com,35.183.200.119
mine.wow.fairpool.xyz,185.107.56.194
mine.xhv.fairpool.pw,91.195.241.232
mine.xhv.fairpool.xyz,162.210.199.87
mine.xmrpool.net,141.94.96.195
mine.xrn.fairpool.xyz,185.107.56.194
mine.zano.fairpool.xyz,37.48.65.136
mine.zergpool.com,103.249.70.7
mine.zpool.ca,198.50.168.213
mineit.io,3.64.163.50
minepool.com,15.197.142.173
minepool.online,85.10.199.135
miner-control.de,167.86.116.187
miner.rocks,188.165.198.144
minerpool.net,185.198.70.250
minimizing.net,104.21.40.141
mining.bittube.app,185.82.20.213
mining.bittubeapp.com,185.82.20.213
mining.xpoolx.com,54.37.10.104
miningmadness.com,147.135.70.51
miningpoolhub.com,104.21.19.157
mix-solo.wattpool.net,149.56.143.205
mix.minerpool.net,213.32.53.184
mix.wattpool.net,149.56.12.241
mn.pool-pay.com,213.133.111.29
mng.miningpool.fun,34.233.87.27
moac.2miners.com,162.19.139.181
mona.suprnova.cc,145.239.0.106
monero.herominers.com,141.95.126.31
monerohash.com,107.191.99.221
music.2miners.com,162.19.139.119
mwc.2miners.com,162.19.139.120
mwc.pacificpool.ws,64.70.19.203
my-mining-pool.de,144.76.26.181
myr-gr.asia.mine.zergpool.com,51.79.251.11
myr-gr.eu.mine.zpool.ca,188.165.24.209
myr-gr.jp.mine.zpool.ca,198.50.168.213
myr-gr.mine.zergpool.com,103.249.70.7
myr-gr.na.mine.zpool.ca,198.50.168.213
myrgro.mining-dutch.nl,51.178.75.42
na-etc.hiveon.net,172.65.222.14
na-mwc.pacificpool.ws,64.70.19.203
na.aionpool.tech,168.119.146.54
na.luckpool.net,149.56.27.47
naw-eth.hiveon.net,34.90.112.127
nbr.pool-pay.com,144.76.173.210
neoscrypt.asia.mine.zergpool.com,51.79.251.11
neoscrypt.br.nicehash.com,34.111.146.87
neoscrypt.eu.mine.zergpool.com,141.95.55.97
neoscrypt.eu.mine.zpool.ca,188.165.24.209
neoscrypt.eu.nicehash.com,34.111.146.87
neoscrypt.eu1.unimining.net,54.36.45.67
neoscrypt.hk.nicehash.com,34.111.146.87
neoscrypt.in.nicehash.com,34.111.146.87
neoscrypt.jp.mine.zpool.ca,198.50.168.213
neoscrypt.jp.nicehash.com,34.111.146.87
neoscrypt.mine.ahashpool.com,3.64.163.50
neoscrypt.mine.blazepool.com,3.64.163.50
neoscrypt.mine.zergpool.com,103.249.70.7
neoscrypt.mining-dutch.nl,51.178.75.42
neoscrypt.na.mine.zpool.ca,198.50.168.213
neoscrypt.sea.mine.zpool.ca,198.50.168.213
neoscrypt.usa.nicehash.com,34.111.146.87
nicehash.com,34.96.85.230
nilu-eu.upool.in,199.59.243.223
nilu-us.upool.in,199.59.243.223
nilu.minerpool.net,213.32.53.172
nimiq-trm.icemining.ca,18.196.209.223
nimiq.icemining.ca,172.67.71.15
nist5.asia.mine.zergpool.com,103.249.70.7
nist5.eu.mine.zpool.ca,188.165.24.209
nist5.jp.mine.zpool.ca,198.50.168.213
nist5.mine.zergpool.com,103.249.70.7
nist5.na.mine.zpool.ca,198.50.168.213
nl.stratu.ms,134.209.82.176
nlpool.nl,104.21.14.24
nodepow.com,38.40.207.240
noncepool.com,157.230.65.129
nuko.minerpool.net,213.32.53.184
nuko.mofumofu.me,89.233.108.160
odocrypt.asia.mine.zergpool.com,51.79.251.11
odocrypt.eu.mine.zpool.ca,188.165.24.209
odocrypt.mine.zergpool.com,103.249.70.7
odocrypt.mine.zpool.ca,198.50.168.213
odocrypt.mining-dutch.nl,51.178.75.42
omb.pool-pay.com,144.76.173.210
p2p-spb.xyz,5.188.104.245
p2p-usa.xyz,66.151.242.154
padihash.eu.mine.zpool.ca,188.165.24.209
pasl.fairpool.xyz,23.82.12.34
pavhash.mooo.com,76.146.208.10
pawelhash.eu.mine.zpool.ca,188.165.24.209
perkle-pool.esprezzo.io,54.144.7.146
persianmine.com,3.64.163.50
pgc.minerpool.net,46.105.132.11
phi.asia.mine.zergpool.com,51.79.251.11
phi.eu.mine.zpool.ca,188.165.24.209
phi.jp.mine.zpool.ca,198.50.168.213
phi.mine.zergpool.com,103.249.70.7
phi.na.mine.zpool.ca,198.50.168.213
phi2.eu.mine.zpool.ca,188.165.24.209
phi2.jp.mine.zpool.ca,198.50.168.213
phi2.mine.ahashpool.com,3.64.163.50
phi2.mining-dutch.nl,51.178.179.75
phi2.na.mine.zpool.ca,198.50.168.213
pirl-solo.wattpool.net,192.99.244.228
pirl.2miners.com,162.19.139.182
pirl.coinminer.space,213.136.76.42
pirl.pool.sexy,159.69.56.113
plpool.org,198.13.46.7
polytimos.eu.mine.zpool.ca,188.165.24.209
polytimos.jp.mine.zpool.ca,198.50.168.213
polytimos.na.mine.zpool.ca,198.50.168.213
pool-eu.ethosdistro.com,51.68.137.66
pool-usa.ethosdistro.com,192.99.69.170
pool.0cash.org,127.0.0.1
pool.572133.club,195.201.107.113
pool.acemining.co,172.67.128.43
pool.aionmine.org,144.76.40.59
pool.bibop.net,172.67.180.33
pool.bitcoinote.org,35.177.186.29
pool.blocpal.com,35.183.135.32
pool.bsod.pw,77.87.212.10
pool.btcp.network,104.21.6.65
pool.callistopool.org,81.171.22.5
pool.ckpool.org,51.81.56.15
pool.cryptopay.org.za,157.245.174.176
pool.cryptopros.us,40.76.46.77
pool.dgb256.online,217.182.84.205
pool.egem.io,209.145.54.96
pool.ehpro.ca,149.56.17.133
pool.electroneropulse.org,104.21.89.146
pool.erstweal.com,64.111.98.21
pool.esn.today,115.68.110.213
pool.expanse.tech,107.170.255.60
pool.hashvault.pro,95.179.241.203
pool.helpico.tech,104.21.12.199
pool.italo.network,104.251.217.80
pool.joys.digital,3.72.140.173
pool.krb.fairhash.org,144.76.172.246
pool.lanacoin.com,193.164.140.163
pool.mangocoin.online,95.217.153.70
pool.minerall.io,168.119.64.215
pool.monerov.online,64.190.63.111
pool.ms,104.26.7.90
pool.myminers.org,89.163.148.73
pool.nashcash.net,173.212.217.104
pool.peopleland.net,213.239.195.185
pool.pexaproject.com,174.138.55.214
pool.pigeoncoin.org,138.68.75.8
pool.pirl.network,149.5.28.42
pool.qpool.net,54.203.168.137
pool.qwertycoin.org,95.216.221.239
pool.rwinfo.club,23.101.70.187
pool.ryo-currency.com,185.134.22.134
pool.sprintpay.net,80.96.79.148
pool.supportxmr.com,141.94.96.195
pool.swampcoin.tech,207.244.227.239
pool.swampthing.net,67.166.253.246
pool.talleo.org,138.201.154.252
pool.tecracoin.io,198.251.84.52
pool.tube.fairhash.org,95.217.106.182
pool.wattum.io,172.67.145.68
pool.xmc.fairhash.org,5.9.5.150
pool.xwp.one,89.31.143.1
pool.zelerius.org,104.21.76.85
pool.zls.fairhash.org,5.9.82.70
poolparty.cryptopay.org.za,157.245.174.176
power2b.asia.mine.zergpool.com,51.79.251.11
power2b.eu.mine.zergpool.com,141.95.55.97
power2b.eu.mine.zpool.ca,188.165.24.209
power2b.mine.zergpool.com,103.249.70.7
powerpool.money,159.89.177.213
pps-etc-eu.adaminers.com,69.16.231.58
pps-eth-eu.adaminers.com,69.16.231.58
profit.pool.bitcoin.com,47.91.73.17
prohashing.com,172.67.189.225
prominingpool.co.uk,78.105.15.11
proxy.pool.whalesburg.com,127.0.0.1
proxy.prohashing.com,50.220.121.211
qkc.ontopool.com,116.203.214.61
qrl-us.leafpool.com,173.254.207.155
qrl.herominers.com,141.95.126.31
qrl.miningocean.org,217.182.169.140
quark.asia.mine.zergpool.com,51.79.251.11
quark.eu.mine.zpool.ca,188.165.24.209
quark.eu.nicehash.com,34.111.156.8
quark.hk.nicehash.com,34.111.156.8
quark.jp.mine.zpool.ca,198.50.168.213
quark.mine.zergpool.com,103.249.70.7
quark.mining-dutch.nl,51.178.75.42
quark.na.mine.zpool.ca,198.50.168.213
quark.usa.nicehash.com,34.111.156.8
qubit.asia.mine.zergpool.com,103.249.70.7
qubit.br.nicehash.com,34.111.204.196
qubit.eu.mine.zpool.ca,188.165.24.209
qubit.eu.nicehash.com,34.111.204.196
qubit.hk.nicehash.com,34.111.204.196
qubit.in.nicehash.com,34.111.204.196
qubit.jp.mine.zpool.ca,198.50.168.213
qubit.jp.nicehash.com,34.111.204.196
qubit.mine.zergpool.com,103.249.70.7
qubit.mining-dutch.nl,51.178.75.42
qubit.na.mine.zpool.ca,198.50.168.213
qubit.usa.nicehash.com,34.111.204.196
randomarq.asia.mine.zergpool.com,51.79.251.11
randomarq.mine.zergpool.com,103.249.70.7
randomsfx.asia.mine.zergpool.com,51.79.251.11
randomsfx.eu.mine.zergpool.com,141.95.55.97
randomsfx.mine.zergpool.com,103.249.70.7
randomx.eu.mine.zergpool.com,141.95.55.97
randomx.mine.zergpool.com,103.249.70.7
randomx.na.mine.zergpool.com,149.56.111.148
randomxmonero.br.nicehash.com,34.149.22.228
randomxmonero.eu.nicehash.com,34.149.22.228
randomxmonero.hk.nicehash.com,34.149.22.228
randomxmonero.in.nicehash.com,34.149.22.228
randomxmonero.jp.nicehash.com,34.149.22.228
randomxmonero.usa.nicehash.com,34.149.22.228
raven.f2pool.com,172.65.250.99
ravencoin-us.mintpond.com,144.217.48.60
ravencoin.flypool.org,104.21.19.252
ravencoin.mintpond.com,51.38.208.118
ravenminer.com,104.26.0.4
reosc.digipools.org,45.43.30.3
reosc.wattpool.net,51.75.65.25
rfv2.na.mine.zpool.ca,198.50.168.213
ric.suprnova.cc,5.9.193.21
roi.suprnova.cc,217.182.199.85
rto.pool-pay.com,213.133.111.29
ru-etc.hiveon.net,172.65.222.14
ru-eth.hiveon.net,34.90.112.127
ru.bsod.pw,77.87.212.10
ru.gos.cx,217.107.104.150
ru.hashrent.pro,194.67.97.53
rustpool.xyz,54.202.39.18
rvn-us.coinblockers.com,103.214.5.103
rvn.2miners.com,51.89.99.172
rvn.antpool.com,8.218.23.120
rvn.hashcity.org,138.201.198.155
rvn.suprnova.cc,5.39.65.109
rx.unmineable.com,138.68.130.209
ryo-eu.leafpool.com,5.2.65.14
ryo.bohemianpool.com,80.211.206.105
ryo.miner.rocks,188.165.198.144
ryopool.cryptosewer.com,45.32.202.161
s-eu.comining.io,159.253.18.31
s-jp.comining.io,51.79.254.82
s-ru.comining.io,5.188.28.220
s-sg.comining.io,51.79.254.82
s-us.comining.io,104.238.146.55
s.comining.io,5.188.28.220
sandbox.pool.ms,104.26.6.90
sc-eu.luxor.tech,35.202.11.182
sc-us.luxor.tech,35.202.11.182
sc.f2pool.com,8.218.67.114
sc.luxor.tech,34.107.131.38
scala.herominers.com,141.95.126.31
scp-eu.luxor.tech,35.202.11.182
scp-us.luxor.tech,35.202.11.182
scrypt-ld.eu.mine.zpool.ca,188.165.24.209
scrypt-ld.jp.mine.zpool.ca,198.50.168.213
scrypt-ld.na.mine.zpool.ca,198.50.168.213
scrypt.asia.mine.zergpool.com,51.79.251.11
scrypt.br.nicehash.com,34.111.31.28
scrypt.eu.mine.zergpool.com,141.95.55.97
scrypt.eu.mine.zpool.ca,198.50.168.213
scrypt.eu.nicehash.com,34.111.31.28
scrypt.hk.nicehash.com,34.111.31.28
scrypt.in.nicehash.com,34.111.31.28
scrypt.jp.mine.zpool.ca,198.50.168.213
scrypt.jp.nicehash.com,34.111.31.28
scrypt.mine.zergpool.com,103.249.70.7
scrypt.mining-dutch.nl,54.38.64.46
scrypt.na.mine.zergpool.com,149.56.111.148
scrypt.na.mine.zpool.ca,198.50.168.213
scrypt.sea.mine.zpool.ca,198.50.168.213
scrypt.usa.nicehash.com,34.111.31.28
scryptn2.eu.mine.zergpool.com,141.95.55.97
scryptn2.mine.zergpool.com,103.249.70.7
sero.f2pool.com,39.104.68.126
seu-eth.hiveon.net,34.90.112.127
sfx.pool-pay.com,213.239.211.209
sg-zil.rustpool.xyz,52.77.48.7
sg.haven.herominers.com,141.95.126.31
sg.haven.miner.rocks,139.99.9.184
sg.qrl.herominers.com,141.95.126.31
sg.stratu.ms,128.199.157.196
sg.stratum.slushpool.com,178.128.223.211
sha256-ld.eu.mine.zpool.ca,188.165.24.209
sha256-ld.jp.mine.zpool.ca,198.50.168.213
sha256-ld.na.mine.zpool.ca,198.50.168.213
sha256.antpool.com,47.90.166.97
sha256.asia.mine.zergpool.com,51.79.251.11
sha256.br.nicehash.com,34.111.151.233
sha256.eu.mine.zpool.ca,188.165.24.209
sha256.eu.nicehash.com,34.111.151.233
sha256.hk.nicehash.com,34.111.151.233
sha256.in.nicehash.com,34.111.151.233
sha256.jp.mine.zpool.ca,198.50.168.213
sha256.jp.nicehash.com,34.111.151.233
sha256.mine.zergpool.com,103.249.70.7
sha256.mining-dutch.nl,54.38.64.112
sha256.na.mine.zergpool.com,149.56.111.148
sha256.na.mine.zpool.ca,198.50.168.213
sha256.poolbinance.com,99.83.184.202
sha256.usa.nicehash.com,34.111.151.233
sha256asicboost.br.nicehash.com,130.211.20.161
sha256asicboost.eu.nicehash.com,130.211.20.161
sha256asicboost.hk.nicehash.com,130.211.20.161
sha256asicboost.in.nicehash.com,130.211.20.161
sha256asicboost.jp.nicehash.com,130.211.20.161
sha256asicboost.usa.nicehash.com,130.211.20.161
sha256t.eu.mine.zpool.ca,188.165.24.209
sha256t.jp.mine.zpool.ca,198.50.168.213
sha256t.na.mine.zpool.ca,198.50.168.213
sha3d.mine.zergpool.com,103.249.70.7
sha3d.mine.zpool.ca,198.50.168.213
shpool.net,104.21.3.141
sib.asia.mine.zergpool.com,51.79.251.11
sib.eu.mine.zpool.ca,188.165.24.209
sib.jp.mine.zpool.ca,198.50.168.213
sib.mine.zergpool.com,103.249.70.7
sib.na.mine.zpool.ca,198.50.168.213
sib.suprnova.cc,217.182.138.181
singapore01.hashvault.pro,131.153.76.130
sipc.simpool.vip,118.31.45.65
siriuspool.net,43.249.79.16
skein.asia.mine.zergpool.com,51.79.251.11
skein.eu.mine.zergpool.com,141.95.55.97
skein.eu.mine.zpool.ca,188.165.24.209
skein.jp.mine.zpool.ca,198.50.168.213
skein.mine.ahashpool.com,3.64.163.50
skein.mine.zergpool.com,103.249.70.7
skein.mine.zpool.ca,198.50.168.213
skein.mining-dutch.nl,51.178.75.42
skein.na.mine.zpool.ca,198.50.168.213
skein.sea.mine.zpool.ca,198.50.168.213
skein2.eu.mine.zpool.ca,188.165.24.209
skein2.mine.zergpool.com,103.249.70.7
skein2.na.mine.zpool.ca,198.50.168.213
skunk.eu.mine.zpool.ca,188.165.24.209
skunk.jp.mine.zpool.ca,198.50.168.213
skunk.na.mine.zpool.ca,198.50.168.213
soil.pool.sexy,148.251.90.69
solo-ae.2miners.com,162.19.139.120
solo-beam.2miners.com,162.19.139.120
solo-btcz.2miners.com,162.19.139.120
solo-btg.2miners.com,162.19.139.182
solo-clo.2miners.com,162.19.139.120
solo-ctxc.2miners.com,162.19.139.181
solo-dbix.2miners.com,162.19.139.182
solo-etc.2miners.com,141.95.34.186
solo-etc.altpool.pro,37.187.226.146
solo-eth.2miners.com,51.195.88.16
solo-etho.coolpool.top,89.232.109.242
solo-etp.2miners.com,162.19.139.181
solo-exp.2miners.com,162.19.139.119
solo-grin.2miners.com,162.19.139.184
solo-mwc.2miners.com,162.19.139.120
solo-nilu.coolpool.top,89.232.109.242
solo-pirl.2miners.com,162.19.139.119
solo-rvn.2miners.com,51.89.99.172
solo-ubq.altpool.pro,37.187.226.146
solo-xmr.2miners.com,162.19.139.184
solo-xzc.2miners.com,162.19.139.182
solo-zcl.2miners.com,162.19.139.181
solo-zec.2miners.com,162.19.139.182
solo-zel.2miners.com,162.19.139.181
solo.antpool.com,172.65.220.229
solo.ckpool.org,51.81.56.15
solo.clopool.pro,150.95.255.38
sonoa.asia.mine.zergpool.com,51.79.251.11
sonoa.eu.mine.zpool.ca,188.165.24.209
sonoa.jp.mine.zpool.ca,198.50.168.213
sonoa.mine.zergpool.com,103.249.70.7
sonoa.na.mine.zpool.ca,198.50.168.213
spookypool.nl,15.197.130.221
ss.antpool.com,172.65.202.87
ss.bfcpool.com,62.234.23.78
stellite.ingest-asia.cryptoknight.cc,69.16.230.42
stellite.ingest.cryptoknight.cc,69.16.230.42
stratum-asia.rplant.xyz,51.79.177.216
stratum-btm.antpool.com,47.106.38.147
stratum-dash.antpool.com,8.214.35.39
stratum-etc.antpool.com,172.65.199.150
stratum-eu.rplant.xyz,141.94.192.217
stratum-ltc.antpool.com,172.65.205.30
stratum-na.rplant.xyz,51.161.117.115
stratum-ravencoin.flypool.org,35.244.156.231
stratum-ru.rplant.xyz,146.59.217.34
stratum-sc.antpool.com,47.106.46.162
stratum-xmc.antpool.com,47.115.41.163
stratum-zec.antpool.com,8.214.12.176
stratum.aikapool.com,37.26.136.250
stratum.aionmine.org,144.76.40.59
stratum.antpool.com,172.65.209.66
stratum.bcmonster.com,71.88.207.47
stratum.coinminerz.com,135.125.236.147
stratum.cudopool.com,51.89.64.33
stratum.f2pool.com,172.65.228.175
stratum.gpuhot.com,142.234.25.178
stratum.happypool.co,46.101.218.239
stratum.icemining.ca,8.9.31.244
stratum.kano.is,149.28.75.193
stratum.mecrypto.club,209.145.55.172
stratum.miner-world.com,104.0.10.125
stratum.my2coins.com,142.44.193.168
stratum.naw.warihash.com,165.227.2.196
stratum.okpool.me,18.163.169.177
stratum.piratepool.io,178.63.77.56
stratum.pool.bitgrin.dev,104.199.10.245
stratum.ravenminer.com,116.202.110.85
stratum.sephira.co,52.138.8.115
stratum.slushpool.com,45.55.41.36
stratum.solomining.io,51.89.118.3
stratum.spaceworks.co,167.172.39.135
stratum.thecoin.pw,75.2.81.212
stratum.us2mine.com,70.117.210.57
stratum.yiimp.bobbpool.be,88.99.224.82
stratum.youcrazy.me,139.99.133.242
stratum.yourpool.org,80.241.222.199
stratum.zel.cash,95.216.172.217
stratum1.hashcryptos.com,51.178.75.42
stratum3.hashcryptos.com,51.178.75.42
stratum4.hashcryptos.com,51.178.179.75
sumo.ss.dxpool.com,35.76.39.213
sumokoin.miner.rocks,188.165.198.144
supportxmr.com,54.38.33.16
swap.gxn-miningpool.com,76.140.45.154
swap.ingest.cryptoknight.cc,69.16.230.42
swap.miningocean.org,54.36.98.147
swap2.luckypool.io,141.94.143.236
tbdice.org,104.21.55.62
texas.us.rvn.minermore.com,144.202.73.210
timetravel.eu.mine.zpool.ca,188.165.24.209
timetravel.jp.mine.zpool.ca,198.50.168.213
timetravel.na.mine.zpool.ca,198.50.168.213
tlo.cryptonote.club,5.189.189.199
tneoscrypt.na.mine.zpool.ca,198.50.168.213
tokenminingpool.com,104.21.23.209
trexmining.com,3.140.13.188
tribus.asia.mine.zergpool.com,51.79.251.11
tribus.eu.mine.zpool.ca,188.165.24.209
tribus.jp.mine.zpool.ca,198.50.168.213
tribus.mine.ahashpool.com,3.64.163.50
tribus.mine.blazepool.com,3.64.163.50
tribus.mine.zergpool.com,103.249.70.7
tribus.mining-dutch.nl,51.178.179.75
tribus.na.mine.zpool.ca,198.50.168.213
trtl.pool.mine2gether.com,138.201.129.138
tsf.europool.me,185.53.178.10
tube.ingest.cryptoknight.cc,69.16.230.42
tube.steadyhash.org,147.135.1.163
tube4.luckypool.io,141.94.143.236
tw.sparkpool.com,104.199.226.144
ua-mining.com,109.108.71.107
ubiq.suprnova.cc,37.187.146.34
ubiq.wattpool.net,144.217.81.198
ubq.altpool.pro,37.187.226.146
uk.stratu.ms,134.209.177.184
ukpool.electronero.org,161.97.121.104
ukpool.electroneropulse.org,104.21.89.146
upx.miningocean.org,54.36.98.147
upxpool.com,34.102.136.180
us-ae.2miners.com,162.19.139.120
us-beam.2miners.com,135.148.55.16
us-btg.2miners.com,147.135.11.134
us-central.2acoin.org,45.76.232.71
us-central01.miningrigrentals.com,45.76.227.84
us-ckb.2miners.com,135.148.55.16
us-clo.2miners.com,162.19.139.120
us-east-stratum.grinmint.com,52.55.56.125
us-east.crazypool.org,149.28.117.96
us-east.cryptonight-hub.miningpoolhub.com,66.42.40.195
us-east.equihash-hub.miningpoolhub.com,45.77.150.66
us-east.ethash-hub.miningpoolhub.com,45.77.150.66
us-east.ezil.me,51.81.93.163
us-east.kawpow-hub.miningpoolhub.com,45.77.150.66
us-east.lyra2z-hub.miningpoolhub.com,45.77.150.66
us-east.randomx-hub.miningpoolhub.com,66.42.40.195
us-east.siamining.com,45.79.188.191
us-east.stratum.grin-pool.org,185.53.177.52
us-east.stratum.slushpool.com,64.225.62.255
us-east01.miningrigrentals.com,104.131.104.33
us-etc.2miners.com,51.81.185.231
us-eth.2miners.com,51.195.88.15
us-exp.2miners.com,162.19.139.119
us-grin.2miners.com,162.19.139.184
us-nw01.miningrigrentals.com,104.238.153.219
us-rvn.2miners.com,135.148.55.16
us-solo-ae.2miners.com,162.19.139.120
us-solo-beam.2miners.com,135.148.55.16
us-solo-btg.2miners.com,135.148.55.16
us-solo-clo.2miners.com,162.19.139.120
us-solo-etc.2miners.com,51.81.185.231
us-solo-eth.2miners.com,51.195.88.16
us-solo-etp.2miners.com,162.19.139.181
us-solo-exp.2miners.com,162.19.139.119
us-solo-grin.2miners.com,162.19.139.184
us-solo-rvn.2miners.com,135.148.55.16
us-solo-xzc.2miners.com,51.81.185.231
us-solo-zec.2miners.com,135.148.55.16
us-solo-zen.2miners.com,147.135.11.134
us-west.crazypool.org,149.28.117.96
us-west.ezil.me,51.81.245.162
us-west.siamining.com,50.116.14.37
us-west01.miningrigrentals.com,138.197.204.233
us-xzc.2miners.com,51.81.185.231
us-zec.2miners.com,147.135.11.134
us-zel.zellabs.net,95.216.172.217
us-zen.2miners.com,147.135.11.134
us-zil.rustpool.xyz,34.223.123.55
us.0769.it,51.89.124.200
us.bsod.pw,77.87.212.10
us.btgpool.pro,138.197.16.33
us.bytecoin-pool.org,62.210.92.159
us.emcd.io,5.161.198.49
us.equihub.pro,65.108.45.36
us.fastpool.xyz,207.244.240.82
us.frostypool.com,144.217.81.21
us.gos.cx,217.107.104.150
us.litecoinpool.org,104.236.57.24
us.mining.bit.tube,185.82.20.213
us.miningfield.com,104.21.25.233
us.nimpool.io,18.188.59.33
us.pool.ms,167.71.240.6
us.ravenminer.com,5.161.149.184
us.rig.tokyo,144.202.70.19
us.rito.minermore.com,149.28.243.131
us.rvn.minermore.com,104.156.227.248
us.ss.btc.com,172.65.236.221
us.stratu.ms,157.245.218.222
us.ubiqpool.io,134.209.34.116
us1-beam.flypool.org,34.102.152.90
us1-etc.ethermine.org,54.36.60.204
